GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NoDI2,com.example.demo,GroupForm,10,0,0,0,4,0,3,0,3,0
NoDI2,com.example.demo,GroupServiceImpl,0,13,0,0,0,4,0,2,0,2
NoDI2,com.example.demo,NoDiApplication,5,3,0,0,2,1,1,1,1,1
NoDI2,com.example.demo,GroupRepositoryImpl,11,24,7,3,3,5,6,2,0,2
NoDI2,com.example.demo,GroupController,34,3,2,0,10,1,4,1,3,1
NoDI2,com.example.demo,ShainController,2,35,1,1,1,10,1,4,0,4
NoDI2,com.example.demo,ShainForm,0,10,0,0,0,4,0,3,0,3
NoDI2,com.example.demo,ShainServiceImpl,0,13,0,0,0,4,0,2,0,2
NoDI2,com.example.demo,ShainRepositoryImpl,11,24,7,3,3,5,6,2,0,2
